,enzyme,substract,compound,product
21560,0.9942670576557793,0.04221634804308678,0.005732942344220764,9.952054402952097
21561,0.9942687619774626,0.042203722139416186,0.00573123802253736,9.952068731047154
21562,0.9942704657978494,0.042191099994626544,0.005729534202150564,9.952083054882658
21563,0.9942721691170839,0.04217848160760905,0.005727830882916118,9.952097374459866
21564,0.9942738719353102,0.04216586697725522,0.005726128064689803,9.952111689780027
21565,0.9942755742526725,0.0421532561024569,0.005724425747327436,9.952126000844396
21566,0.9942772760693152,0.04214064898210624,0.005722723930684877,9.952140307654224
21567,0.994278977385382,0.042128045615095734,0.005721022614618026,9.95215461021076
21568,0.9942806782010172,0.042115446000318184,0.0057193217989828194,9.952168908515258
21569,0.9942823785163648,0.0421028501366667,0.005717621483635236,9.952183202568966
21570,0.9942840783315687,0.042090258023034746,0.0057159216684312935,9.952197492373138
21571,0.994285777646773,0.042077669658316066,0.005714222353227049,9.952211777929021
21572,0.9942874764621215,0.04206508504140476,0.005712523537878598,9.952226059237866
21573,0.9942891747777579,0.042052504171195215,0.005710825222242078,9.952240336300921
21574,0.9942908725938263,0.04203992704658217,0.005709127406173664,9.952254609119436
21575,0.9942925699104704,0.04202735366646067,0.005707430089529571,9.95226887769466
21576,0.9942942667278339,0.04201478402972607,0.005705733272166054,9.95228314202784
21577,0.9942959630460606,0.04200221813527406,0.005704036953939407,9.952297402120225
21578,0.9942976588652941,0.041989655982000634,0.005702341134705963,9.95231165797306
21579,0.9942993541856779,0.04197709756880213,0.005700645814322096,9.952325909587596
21580,0.9943010490073558,0.04196454289457518,0.005698950992644218,9.952340156965079
21581,0.9943027433304712,0.04195199195821675,0.005697256669528782,9.952354400106751
21582,0.9943044371551677,0.04193944475862412,0.005695562844832278,9.952368639013862
21583,0.9943061304815888,0.041926901294694896,0.005693869518411238,9.95238287368766
21584,0.9943078233098778,0.041914361565327,0.005692176690122232,9.952397104129384
21585,0.9943095156401781,0.04190182556941866,0.00569048435982187,9.952411330340285
21586,0.9943112074726332,0.04188929330586845,0.005688792527366801,9.952425552321603
21587,0.9943128988073863,0.041876764773575235,0.005687101192613714,9.952439770074584
21588,0.9943145896445806,0.04186423997143821,0.0056854103554193364,9.952453983600474
21589,0.9943162799843596,0.0418517188983569,0.005683720015640436,9.952468192900511
21590,0.9943179698268662,0.041839201553231134,0.005682030173133818,9.952482397975944
21591,0.9943196591722436,0.04182668793496106,0.005680340827756331,9.952496598828013
21592,0.9943213480206351,0.04181417804244716,0.005678651979364859,9.952510795457961
21593,0.9943230363721837,0.041801671874590204,0.005676963627816327,9.952524987867031
21594,0.9943247242270323,0.04178916943029132,0.005675275772967699,9.952539176056463
21595,0.994326411585324,0.04177667070845192,0.005673588414675979,9.9525533600275
21596,0.9943280984472018,0.04176417570797375,0.005671901552798209,9.95256753978138
